V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,subject,time,y
0.946653021,-1.040853542,-0.575262447,-1.410970955,-1.020731158,-0.936798685,-0.633395634,-0.169736788,-0.533797207,0.880714889,1,1,0
0.85389171,-0.743937121,-0.664262273,-1.336795383,-1.209076246,-1.036505629,-0.491784344,-0.024660993,-0.502230604,0.803914108,1,2,0
0.846164085,-0.946538084,-0.884696553,-1.550153408,-0.797868163,-1.121523839,-0.461771467,-0.023718434,-0.631522801,0.740837077,1,3,0
0.98473295,-0.885305174,-0.68812535,-1.480661282,-1.014332316,-1.069434702,-0.694543242,0.035094051,-0.647177386,0.764536595,1,4,0
0.749399217,-1.077329402,-0.623511737,-1.387946758,-1.161018995,-0.963662592,-0.52597495,-0.108737256,-0.733830842,0.908007205,1,5,0
0.708714573,-0.952933125,-0.666193393,-1.433939923,-0.962050834,-0.982454351,-0.600238023,-0.025309443,-0.640181762,0.919835937,1,6,0
0.992353807,-1.008961937,-0.766479688,-1.444484864,-1.136904353,-0.852274692,-0.490288339,-0.13596587,-0.597028705,1.032537721,1,7,0
1.054686657,-1.006363296,-0.519092891,-1.37645859,-0.975238032,-0.852219675,-0.539001467,0.102786129,-0.428156272,0.852681694,1,8,0
0.917198037,-1.053090329,-1.057459153,-1.625813746,-0.939840312,-0.836028196,-0.548784843,-0.02411991,-0.547246085,0.850843482,1,9,0
1.017288291,-1.144269911,-0.836801935,-1.494553399,-0.948178746,-0.849111992,-0.433444285,-0.143850059,-0.66625998,0.81401932,1,10,0
0.826611674,-0.907171329,-0.700436703,-1.655421298,-1.017782976,-1.078806857,-0.70334572,0.14419493,-0.558971474,0.807053111,1,11,0
0.815176104,-0.919323873,-0.665936971,-1.423708632,-0.908065104,-0.981315604,-0.448995711,0.014587813,-0.585565801,0.948048474,1,12,0
0.935444903,-0.982502438,-0.725779448,-1.60535287,-1.149393433,-1.008894463,-0.608402127,-0.105144764,-0.68231088,0.860158982,1,13,0
0.957992569,-1.071585597,-0.870565973,-1.375479266,-0.870394311,-1.061453936,-0.641983914,-0.109112675,-0.582533392,0.778002165,1,14,0
0.939108365,-0.886159555,-0.747181134,-1.44265714,-0.810490098,-0.991368578,-0.609658096,-0.190677863,-0.578140198,0.872588881,1,15,0
0.762527718,-0.998494125,-0.745424113,-1.557434066,-0.79193889,-0.91386459,-0.273967345,-0.053933165,-0.436232968,0.9432281,1,16,0
1.031575866,-1.076169038,-0.778427544,-1.506671855,-0.958022607,-1.044832826,-0.579018425,-0.000812211,-0.570121101,0.96494788,1,17,0
1.069763708,-1.03558942,-0.75657085,-1.603297481,-1.111582638,-0.920465634,-0.511420589,-0.011806428,-0.590645846,0.815920172,1,18,0
0.934574244,-0.866114769,-0.778282496,-1.636068776,-0.976087765,-1.059605348,-0.484266849,-0.003399396,-0.590922661,0.90489628,1,19,0
0.868341048,-0.933575756,-0.765080266,-1.61900646,-0.886161835,-1.043820357,-0.539983024,0.154114231,-0.430956026,0.828359918,1,20,0
0.875204991,-1.06612004,-0.797050264,-1.350784701,-1.091673263,-1.018507387,-0.589179056,-0.05448912,-0.617706909,0.731931668,1,21,0
0.911417257,-1.087457052,-0.862329432,-1.598404195,-0.944536618,-0.889515843,-0.43449218,0.084081317,-0.53673231,0.845918789,1,22,0
0.931517775,-0.997713304,-0.866491671,-1.50344132,-0.940186715,-0.854642262,-0.435432104,-0.013244288,-0.609547356,0.751222533,1,23,0
0.776180841,-1.011093186,-0.693869242,-1.50106899,-0.886027655,-0.990693586,-0.577111592,0.093883387,-0.529891912,0.711469067,1,24,0
0.917942373,-0.997456197,-0.605163231,-1.468739861,-0.991897961,-0.957589019,-0.651450311,-0.071793705,-0.560325727,0.74403966,1,25,0
0.880909232,-0.835891858,-0.751670572,-1.397512545,-0.992841509,-1.161664194,-0.60718988,0.038197366,-0.339863481,0.922108425,1,26,0
1.057717097,-1.062885484,-0.792345558,-1.378362033,-0.778652202,-0.920767258,-0.506932481,-0.077590476,-0.697728752,0.871199162,1,27,0
1.001666951,-0.934872544,-0.774119339,-1.475605779,-1.007321452,-1.066335832,-0.410726693,-0.225093003,-0.558869954,0.846978235,1,28,0
0.771902907,-1.045501015,-0.755392827,-1.555914565,-1.171143929,-1.099757784,-0.6519052,-0.132160276,-0.601597589,0.762932907,1,29,0
0.972939284,-1.003522389,-0.821176455,-1.310979451,-0.933657036,-0.916079385,-0.396647119,-0.010160108,-0.383245404,0.88424018,1,30,0
0.950392084,-0.896933964,-0.665855813,-1.398206166,-1.189158066,-0.926270087,-0.606074312,0.066448673,-0.575673923,0.930381429,1,31,0
1.00700832,-1.147533294,-0.838783076,-1.358584934,-1.036620502,-1.012493717,-0.546071028,-0.207131571,-0.673088698,0.893797259,1,32,0
0.913250154,-0.983235737,-0.767854553,-1.486869116,-1.135338629,-0.883490787,-0.483160984,0.108335556,-0.574922003,0.867289292,1,33,0
0.917495371,-0.919728273,-0.833869168,-1.402635356,-0.766296989,-1.150522869,-0.407741727,0.012310925,-0.628328189,0.657364437,1,34,0
0.976722529,-1.147320308,-0.801030987,-1.53551003,-1.097203687,-1.052727641,-0.539599714,-0.039836454,-0.608010613,0.81441902,1,35,0
0.935881382,-1.106525549,-0.877616466,-1.40849064,-1.023045244,-0.861370969,-0.356819107,0.072884495,-0.570892421,0.826432088,1,36,0
0.91817664,-1.123775146,-0.813965559,-1.393925725,-0.999256791,-1.121569985,-0.553787795,0.02302031,-0.592124899,0.782967449,1,37,0
0.922717927,-0.854293823,-0.978546634,-1.430128702,-0.819145133,-0.980738087,-0.624573534,-0.144252164,-0.435307726,0.667674919,1,38,0
0.8001788,-0.923961833,-0.728010568,-1.447426539,-0.962704687,-0.928386041,-0.634535338,0.075627121,-0.678929064,0.790890725,1,39,0
0.932154489,-1.067168172,-0.704404767,-1.430728656,-1.098002976,-0.813701828,-0.497576758,0.049750828,-0.655006541,0.85449286,1,40,0
0.94181683,-1.010721465,-0.56983652,-1.422865825,-1.003254378,-1.055898226,-0.361181605,-0.266662602,-0.757562895,0.924048337,1,41,0
0.822234108,-1.116910356,-0.947796298,-1.543335232,-0.960095874,-1.064786126,-0.559442811,-0.099070311,-0.500087906,0.956091107,1,42,0
0.831462708,-1.177295589,-0.660666549,-1.32502531,-0.972735656,-1.054212055,-0.56482285,0.14047785,-0.546555591,0.757162773,1,43,0
0.778750262,-0.900026294,-0.714000073,-1.360716887,-1.075966068,-1.067319526,-0.507189821,-0.099319049,-0.468796258,0.624596088,1,44,0
0.788826461,-1.098170161,-0.797573503,-1.576817835,-0.990442125,-0.850924942,-0.573528066,0.130394074,-0.611154285,0.852774629,1,45,0
0.854249351,-1.182440727,-0.895303954,-1.421385553,-0.998964837,-0.797811996,-0.467968446,-0.089604244,-0.548979043,0.784709918,1,46,0
1.031056415,-0.908454298,-0.780432669,-1.386549062,-0.937939505,-0.960505714,-0.676343545,-0.100602619,-0.565626141,0.71166569,1,47,0
0.969694969,-1.206292255,-0.623625988,-1.31528024,-0.974157947,-1.198203349,-0.6504774,0.176970887,-0.72158888,0.833845348,1,48,0
0.786044641,-0.939037727,-0.466584838,-1.488815126,-0.933751317,-0.743599823,-0.468142193,-0.088840209,-0.539881705,0.93203298,1,49,0
0.888295857,-1.086048227,-0.760964107,-1.389296426,-0.917576353,-0.890567623,-0.50440137,0.038893901,-0.506209567,0.915633382,1,50,0
0.982783877,-1.116198128,-0.815764471,-1.427549374,-1.048455654,-0.791071444,-0.576354071,0.073109282,-0.465226427,0.791875957,1,51,0
1.048910916,-1.051152643,-0.746244463,-1.667524969,-0.947213042,-0.847717009,-0.646542241,-0.041765782,-0.675450765,0.962523008,1,52,0
1.105770637,-1.077408135,-0.762737916,-1.548054259,-1.017862245,-1.030275961,-0.547574248,0.025949231,-0.650028177,0.922301029,1,53,0
0.863567197,-1.075463703,-0.665978704,-1.486000466,-1.020621921,-0.951869142,-0.512777944,0.095589921,-0.627667561,0.865876448,1,54,0
0.950082844,-0.975060782,-0.648421303,-1.335117477,-0.809073026,-0.943743529,-0.457018343,-0.10720764,-0.738468686,0.882650585,1,55,0
0.904277699,-1.17151825,-0.871208256,-1.385361158,-0.941731831,-0.773606201,-0.774845301,-0.121574139,-0.71914834,0.857985119,1,56,0
0.834018938,-0.988560359,-0.848729848,-1.562050693,-0.938605519,-0.824368434,-0.446135705,-0.006581238,-0.449935542,0.741153158,1,57,0
0.838510132,-0.953886719,-0.808806032,-1.566255492,-1.084715461,-1.008200542,-0.786035799,-0.058330289,-0.561423249,0.802711154,1,58,0
