,n_features,n_samples,n_subjects,feature_std,A,B,C,overall_prob_outcome,sd_outcome,time_effect,mean,sd,icc,icc_pred,auc_value_base,auc,auc_individual,auc_individual_sd,total_n,auc_c,auc_c_individual,auc_c_individual_sd,sd_intercept,sd_residual
1,10,90,150,0.1,0.05,0.1,0.05,0.9,0.05,FALSE,0.900888889,0.0538134,0.021554416,0.748771514,0.5,0.86663562,0.87389416,0.174894677,133,0.992628993,0.994204261,0.027780151,0.100489333,0.058207607
2,10,90,150,0.1,0.05,0.1,0.05,0.8,0.05,FALSE,0.808222222,0.062661573,0.014376588,0.710872234,0.5,0.934141846,0.922478106,0.133274519,148,0.997378768,0.996983591,0.019184505,0.099598336,0.063518643
3,10,90,150,0.1,0.05,0.1,0.05,0.1,0.1,FALSE,0.102296296,0.095557955,0.089250027,0.727975954,0.5,0.888983525,0.868361532,0.181565798,108,0.995122847,0.995365226,0.027647896,0.094400099,0.05770555
4,10,90,150,0.1,0.05,0.1,0.05,0.2,0.1,FALSE,0.200518519,0.106592199,0.060400707,0.720597512,0.504111872,0.939464422,0.932755332,0.122303216,147,0.998161765,0.998663751,0.011839267,0.101436783,0.063163215
5,10,90,150,0.1,0.05,0.1,0.05,0.2,0.05,FALSE,0.194148148,0.070233877,0.020640211,0.655663166,0.5,0.925450188,0.92164601,0.133105306,148,0.997458704,0.99732801,0.017638025,0.088354758,0.064029674
6,10,90,150,0.1,0.05,0.1,0.05,0.4,0.05,FALSE,0.394074074,0.067735243,0.008192079,0.648072534,0.5,0.964885368,0.962928716,0.062475588,150,0.997633915,0.997844179,0.008481942,0.094934066,0.069957914
7,10,90,150,0.1,0.05,0.1,0.05,0.7,0.05,FALSE,0.695185185,0.072185405,0.013626473,0.655431999,0.5,0.937293634,0.935283323,0.108322764,150,0.99795082,0.998084416,0.01208411,0.094095122,0.068224563
8,10,90,150,0.1,0.05,0.1,0.05,0.1,0.05,FALSE,0.097555556,0.057366026,0.026554471,0.745875175,0.5,0.887253457,0.879963875,0.177937331,135,0.99513382,0.996261023,0.024836659,0.100483481,0.058652313
9,10,90,150,0.1,0.05,0.1,0.05,0.6,0.05,FALSE,0.606740741,0.064914798,0.00662097,0.671325226,0.5,0.972051211,0.971751762,0.063715019,150,0.998199466,0.99845614,0.007974536,0.099542587,0.069650722
10,10,90,150,0.1,0.05,0.1,0.05,0.3,0.05,FALSE,0.298074074,0.061625813,0.00711716,0.734844582,0.5,0.960324479,0.959184629,0.076322392,150,0.998735245,0.998634921,0.009785268,0.112858204,0.067793122
11,10,90,150,0.1,0.05,0.1,0.05,0.5,0.05,FALSE,0.500962963,0.070929306,0.009111368,0.702439281,0.523961072,0.956429922,0.958130982,0.075615156,150,0.998517464,0.9985756,0.007377417,0.108023277,0.070307354
12,10,90,150,0.1,0.05,0.1,0.05,0.3,0.1,FALSE,0.28962963,0.11829615,0.057513462,0.712079485,0.527014432,0.950602182,0.957932606,0.0795483,150,0.996655963,0.996141247,0.017514778,0.104003401,0.066133211
13,10,90,150,0.1,0.05,0.1,0.05,0.4,0.1,FALSE,0.406,0.106703247,0.036490438,0.667134847,0.528507582,0.956208247,0.956548708,0.081801292,150,0.998666925,0.998712128,0.00760973,0.098775402,0.069771194
